label,x,y,confidence
nose,773.0503,406.37018,0.9355938
left_eye,0.0,0.0,0.28891778
right_eye,771.4634,393.92444,0.94292367
left_ear,0.0,0.0,0.048524413
right_ear,747.24713,383.831,0.9662131
left_shoulder,724.01166,422.66446,0.9913823
right_shoulder,706.68616,427.6495,0.997951
left_elbow,751.77563,484.0244,0.975895
right_elbow,730.5586,504.73206,0.99824584
left_wrist,796.5571,516.96735,0.98773277
right_wrist,787.0137,531.22015,0.99875546
left_hip,658.15717,546.4524,0.99575245
right_hip,648.8699,554.53394,0.99766123
left_knee,713.6745,610.56836,0.9956116
right_knee,726.81555,638.5433,0.99797267
left_ankle,646.70386,677.62146,0.98269075
right_ankle,710.80597,760.1677,0.9876996
torso_angle,24.49691,,
arm_angle,37.796497,,
