label,x,y,confidence
nose,979.3951,430.19742,0.6762964
left_eye,0.0,0.0,0.08859009
right_eye,980.0409,420.06866,0.79621613
left_ear,0.0,0.0,0.13587661
right_ear,965.6467,411.05334,0.98141164
left_shoulder,876.75854,415.57278,0.97635376
right_shoulder,936.4856,457.97595,0.9987809
left_elbow,796.79395,463.15723,0.8038813
right_elbow,946.2451,541.9104,0.9977404
left_wrist,878.3864,525.9589,0.77156085
right_wrist,993.2113,581.27075,0.9924846
left_hip,774.00385,521.6039,0.98757553
right_hip,809.546,541.1391,0.9967955
left_knee,825.22253,597.2366,0.9687697
right_knee,880.12256,627.1105,0.9927362
left_ankle,784.6349,694.83545,0.8871827
right_ankle,841.1212,740.81006,0.9536423
torso_angle,56.7696,,
arm_angle,24.706316,,
